id,shap,label,group,prediction
0,-0.04162161645927456,0,1,0.7116737
1,-0.04125882754627597,0,1,0.14888182
2,0.11876358788036002,0,0,0.3120904
3,0.030977660829561143,1,0,0.822234
4,0.05806394199848795,1,0,0.6907043
5,-0.05141711644664137,0,1,0.21433458
6,0.030977660829561143,1,0,0.822234
7,-0.04162161645927456,1,1,0.7116737
8,0.01907745726089101,0,0,0.72869444
9,0.007486354648469506,0,1,0.23639092
10,-0.047716104142183,1,1,0.34410354
11,0.0739361806195022,0,0,0.4128262
12,0.08232404344461931,0,0,0.3706907
13,-0.11179208397289317,0,1,0.3675623
14,-0.05406349659337222,0,1,0.3211336
15,0.06445358618770976,0,0,0.7139385
16,0.01780326644011442,1,0,0.6837533
17,0.07389022838301285,1,0,0.58727866
18,-0.06768964020400242,0,1,0.19297004
19,-0.06518701776357233,0,1,0.32577354
20,-0.04162161645927456,0,1,0.7116737
21,0.07636916798839055,0,0,0.23987919
22,-0.051149165462437536,0,1,0.3333482
23,0.048871863253711616,1,0,0.8283653
24,0.04577370863041628,0,0,0.38365063
25,0.08063903518659049,0,0,0.4692272
26,-0.0506780432734034,0,1,0.10693901
27,0.06445358618770976,1,0,0.7139385
28,-0.013474080348266727,1,1,0.29159573
29,-0.09930116207162487,1,1,0.66613007
30,0.08278239684793745,0,0,0.54589623
31,0.004571375409989718,1,1,0.5780213
32,-0.04162161645927456,0,1,0.7116737
33,0.108247153289291,0,0,0.27283272
34,-0.09890639189332777,0,1,0.10586678
35,0.053432494478012016,1,0,0.853263
36,-0.04162161645927456,1,1,0.7116737
37,0.060716437245295324,0,0,0.5949745
38,-0.06169832897635424,0,1,0.26748088
39,-0.055529972332473705,0,1,0.1526936
40,-0.07196226406536213,1,1,0.64411634
41,0.08347470999008026,1,0,0.5437991
42,-0.06518701776357233,1,1,0.32577354
43,-0.06169832897635424,0,1,0.26748088
44,0.07939638074981416,0,0,0.368279
45,-0.05406349659337222,0,1,0.3211336
46,-0.051149165462437536,0,1,0.3333482
47,-0.05723438225072255,0,1,0.26917404
48,-0.0224082328515081,1,1,0.8896218
49,-0.05683210336020214,1,1,0.6135398
50,-0.06518701776357233,0,1,0.32577354
51,0.060716437245295324,0,0,0.5949745
52,-0.05207532532544668,1,1,0.49030393
53,-0.06037185513007305,0,1,0.3432498
54,0.06475994738629409,1,0,0.55210507
55,-0.0053600453591024595,0,1,0.7322246
56,-0.04162161645927456,1,1,0.7116737
57,-0.05683210336020214,1,1,0.6135398
58,-0.08408485766644415,0,1,0.20400292
59,-0.0804342643997739,0,1,0.15598483
60,-0.055529972332473705,0,1,0.1526936
