id,shap,label,group,prediction
0,0.08687888,0,0.0,0.07512192
1,0.037214227,0,0.0,0.32319742
2,0.07043774,0,0.0,0.029477948
3,0.04696718,0,0.0,0.10847969
4,-0.09844375,0,1.0,0.53836334
5,-0.11437156,0,1.0,0.81421375
6,-0.19770291,0,1.0,0.0069577442
7,0.050605368,1,0.0,0.385798
8,-0.20492724,1,1.0,0.98222464
9,0.04158484,1,0.0,0.9495593
10,0.04615716,1,0.0,0.6321234
11,0.0378815,1,0.0,0.49168682
12,-0.17910142,0,1.0,0.0026285544
13,0.0777289,0,0.0,0.10256159
14,0.040482417,0,0.0,0.061130222
15,0.051371973,0,0.0,0.004845051
16,0.08038209,0,0.0,0.016291898
17,0.050637256,0,0.0,0.23987897
18,-0.26963106,1,1.0,0.2679955
19,0.044942185,1,0.0,0.8116151
20,-0.2248449,0,1.0,0.008616631
21,0.03880434,0,0.0,0.06449788
22,0.043455083,0,0.0,0.09302557
23,-0.2987871,0,1.0,0.057349384
24,0.05075515,1,0.0,0.7205171
25,0.053080272,0,0.0,0.0030071524
26,0.07780172,0,0.0,0.18673165
27,0.049843084,0,0.0,0.35186818
28,0.05774217,0,0.0,0.040665533
29,0.059759967,0,0.0,0.0049482957
30,0.08177227,0,0.0,0.14878939
31,0.041868526,0,0.0,0.218232
32,0.033118766,0,0.0,0.017246842
33,0.10951618,0,0.0,0.028984299
34,0.05300004,0,0.0,0.0027686502
35,-0.10649701,0,1.0,0.013344527
36,0.04794029,0,0.0,0.5325629
37,0.04292287,0,0.0,0.08247778
38,0.047208898,0,0.0,0.6523673
39,0.03931186,0,0.0,0.3576671
40,-0.29566988,0,1.0,0.033905562
41,0.055442724,0,0.0,0.007226566
42,0.05041713,1,0.0,0.73202676
43,0.049286157,0,0.0,0.2915203
44,-0.27005196,0,1.0,0.21949814
45,0.04420368,0,0.0,0.3964638
46,0.073286936,0,0.0,0.06282061
47,-0.0981814,0,1.0,0.22684778
48,-0.15530652,1,1.0,0.98086655
49,0.096658744,1,0.0,0.5845244
50,0.08834151,0,0.0,0.23443663
51,0.048751287,1,0.0,0.54278976
52,0.046532597,0,0.0,0.07054199
53,0.03842858,0,0.0,0.16558017
54,0.052920166,0,0.0,0.36896485
55,0.035326682,0,0.0,0.11632845
56,0.042880658,0,0.0,0.42506352
57,0.04952761,0,0.0,0.3422761
58,0.04727901,1,0.0,0.81478
59,0.072375126,0,0.0,0.10216481
60,0.041917242,0,0.0,0.257139
61,-0.228664,0,1.0,0.020992342
62,-0.1416089,1,1.0,0.39145908
63,0.053598695,1,0.0,0.7090927
64,0.053397246,0,0.0,0.0039906707
65,-0.22098246,0,1.0,0.035792872
66,0.043148976,1,0.0,0.526936
67,0.058258653,0,0.0,0.006158815
68,0.0396567,0,0.0,0.1656999
69,0.05219522,0,0.0,0.004846017
70,0.047046427,0,0.0,0.4500387
71,-0.16034661,0,1.0,0.001247656
72,0.038010933,0,0.0,0.04527108
73,0.057797138,0,0.0,0.0035323682
74,0.045923863,0,0.0,0.38953355
75,-0.12967305,0,1.0,0.2273965
76,0.058314443,0,0.0,0.43427935
77,-0.23537534,1,1.0,0.9625405
78,-0.2763528,0,1.0,0.027706046
79,0.046374407,1,0.0,0.45319286
80,0.04532939,0,0.0,0.6922741
81,0.07001558,0,0.0,0.023351373
